item_id,rest_name,item_name,category,serving_size,calories,fat,sat_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,allergens
183,Chick-Fil-A,"Cherry Berry Sunjoy® (Sweet Tea, Lemonade)",drink,655g,230,0,0,0,0,0,58,0,47,0,
184,Chick-Fil-A,"Cherry Berry Sunjoy® (Sweet Tea, Diet Lemonade)",drink,655g,130,0,0,0,0,10,33,0,23,0,
185,Chick-Fil-A,"Cherry Berry Sunjoy® (Unsweet Tea, Lemonade)",drink,655g,170,0,0,0,0,0,41,0,31,0,
186,Chick-Fil-A,"Cherry Berry Sunjoy® (Unsweet Tea, Diet Lemonade)",drink,655g,70,0,0,0,0,10,16,0,6,0,
187,Chick-Fil-A,Cherry Berry Lemonade,drink,655g,260,0,0,0,0,0,66,0,53,0,
188,Chick-Fil-A,Cherry Berry Diet Lemonade,drink,655g,90,0,0,0,0,10,22,0,10,0,
189,Chick-Fil-A,Cherry Berry Sweet Tea,drink,655g,190,0,0,0,0,0,47,0,40,0,
190,Chick-Fil-A,Cherry Berry Unsweet Tea,drink,655g,40,0,0,0,0,0,9,0,1,0,
191,Chick-Fil-A,Freshly-Brewed Iced Tea Sweetened,drink,604g,120,0,0,0,0,0,31,0,30,0,
192,Chick-Fil-A,Small Freshly-Brewed Iced Tea Sweetened,drink,451g,90,0,0,0,0,0,22,0,22,0,
193,Chick-Fil-A,Medium Freshly-Brewed Iced Tea Sweetened,drink,604g,120,0,0,0,0,0,31,0,30,0,
194,Chick-Fil-A,Large Freshly-Brewed Iced Tea Sweetened,drink,893g,170,0,0,0,0,0,44,0,44,0,
195,Chick-Fil-A,Freshly-Brewed Iced Tea Unsweetened,drink,604g,0,0,0,0,0,0,0,0,0,0,
196,Chick-Fil-A,Small Freshly-Brewed Iced Tea Unsweetened,drink,451g,0,0,0,0,0,0,0,0,0,0,
197,Chick-Fil-A,Medium Freshly-Brewed Iced Tea Unsweetened,drink,604g,0,0,0,0,0,0,0,0,0,0,
198,Chick-Fil-A,Large Freshly-Brewed Iced Tea Unsweetened,drink,893g,0,0,0,0,0,0,0,0,0,0,
199,Chick-Fil-A,Chick-fil-A® Lemonade,drink,612g,260,0,0,0,0,0,66,0,60,0,
200,Chick-Fil-A,Small Chick-fil-A® Lemonade,drink,465g,190,0,0,0,0,0,49,0,45,0,
201,Chick-Fil-A,Medium Chick-fil-A® Lemonade,drink,612g,260,0,0,0,0,0,66,0,60,0,
202,Chick-Fil-A,Large Chick-fil-A® Lemonade,drink,916g,380,0,0,0,0,0,98,1,90,1,
203,Chick-Fil-A,Chick-fil-A® Diet Lemonade,drink,612g,60,0,0,0,0,10,15,0,11,0,
204,Chick-Fil-A,Small Chick-fil-A® Diet Lemonade,drink,465g,40,0,0,0,0,10,12,0,8,0,
205,Chick-Fil-A,Medium Chick-fil-A® Diet Lemonade,drink,612g,60,0,0,0,0,10,15,0,11,0,
206,Chick-Fil-A,Large Chick-fil-A® Diet Lemonade,drink,916g,80,0,0,0,0,15,23,0,17,0,
207,Chick-Fil-A,"Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",drink,641g,240,0,0,0,0,0,60,0,57,0,
208,Chick-Fil-A,"Small Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",drink,479g,180,0,0,0,0,0,45,0,43,0,
209,Chick-Fil-A,"Medium Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",drink,641g,240,0,0,0,0,0,60,0,57,0,
210,Chick-Fil-A,"Large Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",drink,944g,350,0,0,0,0,0,91,0,85,0,
211,Chick-Fil-A,"Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",drink,641g,110,0,0,0,0,5,29,0,26,0,
212,Chick-Fil-A,"Small Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",drink,479g,80,0,0,0,0,5,20,0,18,0,
213,Chick-Fil-A,"Medium Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",drink,641g,110,0,0,0,0,5,29,0,26,0,
214,Chick-Fil-A,"Large Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",drink,944g,150,0,0,0,0,10,40,0,36,0,
215,Chick-Fil-A,"Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",drink,641g,160,0,0,0,0,0,41,0,38,0,
216,Chick-Fil-A,"Small Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",drink,479g,130,0,0,0,0,0,33,0,30,0,
217,Chick-Fil-A,"Medium Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",drink,641g,160,0,0,0,0,0,41,0,38,0,
218,Chick-Fil-A,"Large Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",drink,944g,260,0,0,0,0,0,66,0,60,0,
219,Chick-Fil-A,"Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",drink,641g,35,0,0,0,0,5,10,0,7,0,
220,Chick-Fil-A,"Small Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",drink,479g,30,0,0,0,0,5,8,0,6,0,
221,Chick-Fil-A,"Medium Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",drink,641g,35,0,0,0,0,5,10,0,7,0,
222,Chick-Fil-A,"Large Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",drink,944g,60,0,0,0,0,10,15,0,11,0,
223,Chick-Fil-A,CranLime Lemonade,drink,641g,250,0,0,0,0,10,65,0,59,0,
224,Chick-Fil-A,CranLime Lemonade,drink,641g,250,0,0,0,0,10,65,0,59,0,
225,Chick-Fil-A,CranLime Diet Lemonade,drink,641g,70,0,0,0,0,20,19,0,15,0,
226,Chick-Fil-A,Iced Coffee,drink,661g,200,4,2.5,0,20,110,34,0,34,7,
227,Chick-Fil-A,Iced Coffee,drink,661g,200,4,2.5,0,20,110,34,0,34,7,
