restaurant,category,item,calories,protein,carbs,fat
Chick-fil-A,drink,"Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade) (641g)",240.0,0.0,60.0,0.0
Chick-fil-A,drink,"Small Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade) (479g)",180.0,0.0,45.0,0.0
Chick-fil-A,drink,"Medium Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade) (641g)",240.0,0.0,60.0,0.0
Chick-fil-A,drink,"Large Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade) (944g)",350.0,0.0,91.0,0.0
Chick-fil-A,drink,"Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade) (641g)",110.0,0.0,29.0,0.0
Chick-fil-A,drink,"Small Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade) (479g)",80.0,0.0,20.0,0.0
Chick-fil-A,drink,"Medium Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade) (641g)",110.0,0.0,29.0,0.0
Chick-fil-A,drink,"Large Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade) (944g)",150.0,0.0,40.0,0.0
Chick-fil-A,drink,"Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade) (641g)",160.0,0.0,41.0,0.0
Chick-fil-A,drink,"Small Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade) (479g)",130.0,0.0,33.0,0.0
Chick-fil-A,drink,"Medium Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade) (641g)",160.0,0.0,41.0,0.0
Chick-fil-A,drink,"Large Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade) (944g)",260.0,0.0,66.0,0.0
Chick-fil-A,drink,"Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade) (641g)",35.0,0.0,10.0,0.0
Chick-fil-A,drink,"Small Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade) (479g)",30.0,0.0,8.0,0.0
Chick-fil-A,drink,"Medium Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade) (641g)",35.0,0.0,10.0,0.0
Chick-fil-A,drink,"Large Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade) (944g)",60.0,0.0,15.0,0.0
Chick-fil-A,drink,CranLime Lemonade (641g),250.0,0.0,65.0,0.0
Chick-fil-A,drink,CranLime Lemonade (641g),250.0,0.0,65.0,0.0
Chick-fil-A,drink,CranLime Diet Lemonade (641g),70.0,0.0,19.0,0.0
Chick-fil-A,drink,Iced Coffee (661g),200.0,7.0,34.0,4.0
Chick-fil-A,drink,Iced Coffee (661g),200.0,7.0,34.0,4.0
Chick-fil-A,drink,Vanilla Iced Coffee (661g),200.0,7.0,34.0,4.0
Chick-fil-A,drink,Coca-Cola® (584g),170.0,0.0,46.0,0.0
Chick-fil-A,drink,Small Coca-Cola® (451g),130.0,0.0,35.0,0.0
Chick-fil-A,drink,Medium Coca-Cola® (584g),170.0,0.0,46.0,0.0
Chick-fil-A,drink,Large Coca-Cola® (859g),250.0,0.0,68.0,0.0
Chick-fil-A,drink,Dr Pepper® (584g),170.0,0.0,44.0,0.0
Chick-fil-A,drink,Small Dr Pepper® (451g),130.0,0.0,34.0,0.0
Chick-fil-A,drink,Medium Dr Pepper® (584g),170.0,0.0,44.0,0.0
Chick-fil-A,drink,Large Dr Pepper® (859g),250.0,0.0,64.0,0.0
Chick-fil-A,drink,Red Flash (584g),180.0,0.0,48.0,0.0
Chick-fil-A,drink,Small Red Flash (451g),140.0,0.0,36.0,0.0
Chick-fil-A,drink,Medium Red Flash (584g),180.0,0.0,48.0,0.0
Chick-fil-A,drink,Large Red Flash (859g),260.0,0.0,70.0,0.0
Chick-fil-A,drink,DASANI® Bottled Water (479g),0.0,0.0,0.0,0.0
